state,year,fin-bank-account-women
Andaman & Nicobar Islands,2022-23,98.4
Andhra Pradesh,2022-23,97.86
Arunachal Pradesh,2022-23,82.08
Assam,2022-23,90.91
Bihar,2022-23,89.36
Chandigarh,2022-23,99.92
Chhattisgarh,2022-23,94.87
Dadra & Nagar Haveli and Daman & Diu,2022-23,96.96
Delhi,2022-23,96.56
Goa,2022-23,95.82
Gujarat,2022-23,87.66
Haryana,2022-23,94.86
Himachal Pradesh,2022-23,97.74
Jammu & Kashmir,2022-23,94.9
Jharkhand,2022-23,93.88
Karnataka,2022-23,98.99
Kerala,2022-23,94.64
Ladakh,2022-23,95.22
Lakshadweep,2022-23,93
Madhya Pradesh,2022-23,91.36
Maharashtra,2022-23,89.01
Manipur,2022-23,78.85
Meghalaya,2022-23,75.8
Mizoram,2022-23,85.18
Nagaland,2022-23,84.62
Odisha,2022-23,94.53
Puducherry,2022-23,98.57
Punjab,2022-23,91.87
Rajasthan,2022-23,95.91
Sikkim,2022-23,84.47
Tamil Nadu,2022-23,95.68
Telangana,2022-23,96.23
Tripura,2022-23,92.59
Uttar Pradesh,2022-23,88.99
Uttarakhand,2022-23,92.24
West Bengal,2022-23,96.98
