state,year,edu-graduate-workforce
Andaman & Nicobar Islands,2023-24,15.22
Andhra Pradesh,2023-24,12.58
Arunachal Pradesh,2023-24,10.4
Assam,2023-24,7.44
Bihar,2023-24,8.15
Chandigarh,2023-24,43.27
Chhattisgarh,2023-24,9.52
Dadra & Nagar Haveli and Daman & Diu,2023-24,14.96
Delhi,2023-24,28.27
Goa,2023-24,23.58
Gujarat,2023-24,11.87
Haryana,2023-24,20.51
Himachal Pradesh,2023-24,14.41
Jammu & Kashmir,2023-24,13.27
Jharkhand,2023-24,8.42
Karnataka,2023-24,14.64
Kerala,2023-24,18.38
Ladakh,2023-24,10.89
Lakshadweep,2023-24,13.44
Madhya Pradesh,2023-24,9.76
Maharashtra,2023-24,18.67
Manipur,2023-24,19.73
Meghalaya,2023-24,9.19
Mizoram,2023-24,22.13
Nagaland,2023-24,17.27
Odisha,2023-24,8.33
Puducherry,2023-24,26.74
Punjab,2023-24,11.22
Rajasthan,2023-24,12.85
Sikkim,2023-24,10.72
Tamil Nadu,2023-24,17.41
Telangana,2023-24,19.32
Tripura,2023-24,9.89
Uttar Pradesh,2023-24,12.68
Uttarakhand,2023-24,18.61
West Bengal,2023-24,10.57
