state,year,dig-ict-skills,dig-internet-banking
Andaman & Nicobar Islands,2022-23,56,27.9
Andhra Pradesh,2022-23,44.7,30.1
Arunachal Pradesh,2022-23,48.4,25.3
Assam,2022-23,50.5,15.6
Bihar,2022-23,44.4,17.5
Chandigarh,2022-23,72.9,50.7
Chhattisgarh,2022-23,47.2,10.4
Dadra & Nagar Haveli and Daman & Diu,2022-23,71.8,31.4
Delhi,2022-23,80.3,45.1
Goa,2022-23,72.9,43.5
Gujarat,2022-23,59.5,20.6
Haryana,2022-23,62.1,30.1
Himachal Pradesh,2022-23,61,25.9
Jammu & Kashmir,2022-23,54.3,20.5
Jharkhand,2022-23,51.9,16
Karnataka,2022-23,57.7,32.2
Kerala,2022-23,66.8,38.3
Ladakh,2022-23,60.2,29.9
Lakshadweep,2022-23,63.2,37.5
Madhya Pradesh,2022-23,49.4,17.3
Maharashtra,2022-23,62,33.9
Manipur,2022-23,73.3,27.5
Meghalaya,2022-23,66.2,11.7
Mizoram,2022-23,87.3,38.5
Nagaland,2022-23,65.9,26.8
Odisha,2022-23,43.9,14.7
Puducherry,2022-23,65.9,40.2
Punjab,2022-23,59.7,21.3
Rajasthan,2022-23,52.5,22.4
Sikkim,2022-23,75.4,43.8
Tamil Nadu,2022-23,51.8,32.3
Telangana,2022-23,58.1,40.3
Tripura,2022-23,45.4,8.3
Uttar Pradesh,2022-23,45.6,13
Uttarakhand,2022-23,56,23.8
West Bengal,2022-23,46.1,11.3
