state,year,hlt-malaria-incidence
Andhra Pradesh,2020,141.44
Arunachal Pradesh,2020,42.31
Assam,2020,28.91
Bihar,2020,14.06
Chhattisgarh,2020,1836.05
Delhi,2020,138.51
Goa,2020,422.09
Gujarat,2020,622
Haryana,2020,88.81
Himachal Pradesh,2020,3.52
Jammu & Kashmir,2020,4.54
Jharkhand,2020,1032.81
Karnataka,2020,86.81
Kerala,2020,19.96
Madhya Pradesh,2020,239.42
Maharashtra,2020,201.7
Manipur,2020,44.82
Meghalaya,2020,250.25
Mizoram,2020,2184.87
Nagaland,2020,35.56
Odisha,2020,386.03
Punjab,2020,3.27
Rajasthan,2020,20.92
Sikkim,2020,1.24
Tamil Nadu,2020,6.1
Telangana,2020,251.12
Tripura,2020,557.23
Uttar Pradesh,2020,180.95
Uttarakhand,2020,13.6
West Bengal,2020,243.4
