state,year,hlt-nonveg-consumption
Andaman & Nicobar Islands,2019-21,99.84
Andhra Pradesh,2019-21,97.75
Arunachal Pradesh,2019-21,99.65
Assam,2019-21,99.66
Bihar,2019-21,90.67
Chandigarh,2019-21,71.25
Chhattisgarh,2019-21,87
Dadra & Nagar Haveli and Daman & Diu,2019-21,82.15
Delhi,2019-21,76.67
Goa,2019-21,96.67
Gujarat,2019-21,50.2
Haryana,2019-21,38.39
Himachal Pradesh,2019-21,63.74
Jammu & Kashmir,2019-21,91.8
Jharkhand,2019-21,95
Karnataka,2019-21,87.75
Kerala,2019-21,98.94
Ladakh,2019-21,93.1
Lakshadweep,2019-21,100
Madhya Pradesh,2019-21,54.96
Maharashtra,2019-21,82.25
Manipur,2019-21,99.78
Meghalaya,2019-21,99.79
Mizoram,2019-21,100
Nagaland,2019-21,99.94
Odisha,2019-21,95.82
Puducherry,2019-21,98.79
Punjab,2019-21,47.33
Rajasthan,2019-21,39.92
Sikkim,2019-21,90.71
Tamil Nadu,2019-21,97
Telangana,2019-21,97.64
Tripura,2019-21,99.66
Uttar Pradesh,2019-21,63.87
Uttarakhand,2019-21,79.96
West Bengal,2019-21,99.43
