state,year,eco-relative-income,eco-national-gdp-share,eco-agriculture-share,eco-industry-share,eco-services-share
Andaman & Nicobar Islands,2021,161,0,15.5,17.33,67.17
Andhra Pradesh,2021,151,9.7,38.91,23.52,37.57
Arunachal Pradesh,2021,143,0.2,41.35,18.98,39.67
Assam,2021,68,1.7,23.8,35.82,40.38
Bihar,2021,38,4.4,25.39,17.99,56.62
Chandigarh,2021,,,0.75,10.03,89.22
Chhattisgarh,2021,83,1.7,22.52,43.06,34.42
Delhi,2021,253,3.7,0.37,14.6,85.03
Goa,2021,332,0.4,7.4,53.92,38.68
Gujarat,2021,163,8.1,17.58,46.9,35.52
Haryana,2021,177,3.7,20.52,29.76,49.72
Himachal Pradesh,2021,136,0.7,12.92,46.08,41
Jammu & Kashmir,2021,80,0.8,19.66,22.6,57.74
Jharkhand,2021,55,1.5,18.96,38.56,42.48
Karnataka,2021,174,8.3,15.55,21.11,63.34
Kerala,2021,153,3.8,9.42,24.94,65.65
Madhya Pradesh,2021,81,6.6,47.36,20.07,32.57
Maharashtra,2021,143,12.7,15.16,27.14,57.7
Manipur,2021,60,0.1,28.33,7.76,63.91
Meghalaya,2021,71,0.2,22.8,18.13,59.07
Mizoram,2021,136,0.1,25.89,26.39,47.72
Nagaland,2021,94,0.1,22.74,12.97,64.29
Odisha,2021,81,2.6,23.03,42.33,34.64
Puducherry,2021,164,0.2,4.43,49.16,46.41
Punjab,2021,118,2.7,30.43,25.77,43.8
Rajasthan,2021,90,5.1,30.62,26.31,43.07
Sikkim,2021,326,0.2,9.89,63.39,26.72
Tamil Nadu,2021,165,9,14.12,33.12,52.76
Telangana,2021,177,4.8,19.05,18.71,62.24
Tripura,2021,93,0.3,38.03,19.63,42.35
Uttar Pradesh,2021,53,9.1,27.87,27.87,44.26
Uttarakhand,2021,137,1.1,10.62,47.18,42.2
West Bengal,2021,83,5.8,23.32,23.4,53.28
