state,year,ind-unorganised-enterprises
Andaman & Nicobar Islands,2023-24,2692
Andhra Pradesh,2023-24,981482
Arunachal Pradesh,2023-24,11195
Assam,2023-24,194989
Bihar,2023-24,1067251
Chandigarh,2023-24,5068
Chhattisgarh,2023-24,247458
Dadra & Nagar Haveli and Daman & Diu,2023-24,9638
Delhi,2023-24,179905
Goa,2023-24,8338
Gujarat,2023-24,1453455
Haryana,2023-24,278477
Himachal Pradesh,2023-24,141723
Jammu & Kashmir,2023-24,243446
Jharkhand,2023-24,480966
Karnataka,2023-24,1179052
Kerala,2023-24,540946
Ladakh,2023-24,3079
Lakshadweep,2023-24,1177
Madhya Pradesh,2023-24,1128713
Maharashtra,2023-24,1555056
Manipur,2023-24,76037
Meghalaya,2023-24,24846
Mizoram,2023-24,820
Nagaland,2023-24,12715
Odisha,2023-24,805464
Puducherry,2023-24,14282
Punjab,2023-24,478911
Rajasthan,2023-24,961510
Sikkim,2023-24,1628
Tamil Nadu,2023-24,1391656
Telangana,2023-24,937602
Tripura,2023-24,23415
Uttar Pradesh,2023-24,2375181
Uttarakhand,2023-24,100520
West Bengal,2023-24,3227767
