state,year,wgn-women-manufacturing
Andaman & Nicobar Islands,2023-24,27.55
Andhra Pradesh,2023-24,46.38
Arunachal Pradesh,2023-24,75.52
Assam,2023-24,40.37
Bihar,2023-24,40.94
Chandigarh,2023-24,14.21
Chhattisgarh,2023-24,29.53
Dadra & Nagar Haveli and Daman & Diu,2023-24,17.68
Delhi,2023-24,18.67
Goa,2023-24,20.4
Gujarat,2023-24,26.17
Haryana,2023-24,19.18
Himachal Pradesh,2023-24,28.25
Jammu & Kashmir,2023-24,40.6
Jharkhand,2023-24,40.59
Karnataka,2023-24,42.65
Kerala,2023-24,45.68
Ladakh,2023-24,33.42
Lakshadweep,2023-24,49
Madhya Pradesh,2023-24,43.55
Maharashtra,2023-24,28.19
Manipur,2023-24,72.81
Meghalaya,2023-24,45.47
Mizoram,2023-24,49.82
Nagaland,2023-24,46.1
Odisha,2023-24,48.58
Puducherry,2023-24,38.43
Punjab,2023-24,26.91
Rajasthan,2023-24,27.14
Sikkim,2023-24,20.93
Tamil Nadu,2023-24,36.7
Telangana,2023-24,53.32
Tripura,2023-24,40.83
Uttar Pradesh,2023-24,25.06
Uttarakhand,2023-24,21.44
West Bengal,2023-24,46.84
