state,year,wgn-women-elected
AP,2023,8.0
Arunachal,2023,5.0
Assam,2023,4.8
Bihar,2023,10.7
Chhattisgarh,2023,21.0
Goa,2023,7.5
Gujarat,2023,7.1
Haryana,2023,10.0
HP,2023,5.9
Jharkhand,2023,12.4
Karnataka,2023,3.1
Kerala,2023,7.9
MP,2023,11.7
Maharashtra,2023,8.3
Manipur,2023,8.3
Meghalaya,2023,5.1
Mizoram,2023,7.5
Nagaland,2023,0.0
Odisha,2023,8.9
Punjab,2023,11.1
Rajasthan,2023,10.0
Sikkim,2023,9.4
TN,2023,5.1
Telangana,2023,8.4
Tripura,2023,5.0
UP,2023,11.7
Uttarakhand,2023,11.4
WB,2023,13.7
A&N,2023,
Chandigarh,2023,
DNHDD,2023,
Delhi,2023,11.4
J&K,2023,2.3
Ladakh,2023,
Lakshadweep,2023,
Puducherry,2023,3.3
