state,year,eco-gst-per-capita
Andhra Pradesh,2022-23,7653
Arunachal Pradesh,2022-23,6547
Assam,2022-23,3824
Bihar,2022-23,1286
Chhattisgarh,2022-23,10452
Goa,2022-23,35250
Gujarat,2022-23,15718
Haryana,2022-23,28368
Himachal Pradesh,2022-23,11830
Jharkhand,2022-23,8041
Karnataka,2022-23,18267
Kerala,2022-23,7682
Madhya Pradesh,2022-23,4166
Maharashtra,2022-23,21451
Manipur,2022-23,1913
Meghalaya,2022-23,6200
Mizoram,2022-23,3367
Nagaland,2022-23,2530
Odisha,2022-23,10731
Punjab,2022-23,6843
Rajasthan,2022-23,5612
Sikkim,2022-23,45795
Tamil Nadu,2022-23,13800
Telangana,2022-23,13803
Tripura,2022-23,2124
Uttar Pradesh,2022-23,3743
Uttarakhand,2022-23,14345
West Bengal,2022-23,5938
Andaman & Nicobar Islands,2022-23,9325
Chandigarh,2022-23,19016
Dadra & Nagar Haveli and Daman & Diu,2022-23,2465
Delhi,2022-23,25192
Jammu & Kashmir,2022-23,3873
Ladakh,2022-23,10742
Lakshadweep,2022-23,3000
Puducherry,2022-23,13758
