state,year,eco-gsdp-per-capita,eco-gsdp-growth,eco-gsdp-absolute,eco-agriculture-share,eco-industry-share,eco-services-share
Andhra Pradesh,2023-24,266995,8.60,1422094,,,
Arunachal Pradesh,2023-24,245796,7.99,38565,,,
Assam,2023-24,158540,17.38,569287,,,
Bihar,2023-24,68624,14.94,877197,,,
Chhattisgarh,2023-24,168567,11.60,512107,,,
Goa,2023-24,674686,13.73,106533,,,
Gujarat,2023-24,336875,10.09,2425804,,,
Haryana,2023-24,356829,11.36,1085510,,,
Himachal Pradesh,2023-24,283270,10.49,212169,,,
Jharkhand,2023-24,117124,12.39,465638,,,
Karnataka,2023-24,376402,10.24,2557241,,,
Kerala,2023-24,316612,9.30,1135372,,,
Madhya Pradesh,2023-24,155289,10.80,1353809,,,
Maharashtra,2023-24,319474,11.38,4055847,,,
Manipur,2023-24,134076,12.69,43414,,,
Meghalaya,2023-24,156814,13.64,53223,,,
Mizoram,2023-24,267495,10.25,33277,,,
Nagaland,2023-24,176692,11.73,39809,,,
Odisha,2023-24,172021,11.70,798969,,,
Punjab,2023-24,236165,11.44,771744,,,
Rajasthan,2023-24,186610,12.17,1521510,,,
Sikkim,2023-24,707179,14.67,48937,,,
Tamil Nadu,2023-24,349248,13.34,2688963,,,
Telangana,2023-24,382870,11.53,1461836,,,
Tripura,2023-24,190717,12.46,79434,,,
Uttar Pradesh,2023-24,111475,15.12,2642877,,,
Uttarakhand,2023-24,284467,13.78,332998,,,
West Bengal,2023-24,166196,8.96,1651374,,,
Andaman & Nicobar Islands,2023-24,310143,4.36,12499,,,
Chandigarh,2023-24,505137,11.75,62536,,,
Delhi,2023-24,515520,11.32,1112905,,,
Jammu & Kashmir,2023-24,172811,12.51,236059,,,
Ladakh,2023-24,275882,26.50,8304,,,
Puducherry,2023-24,281612,10.94,46945,,,
