state,year,crm-total-crime-rate,crm-chargesheet-rate
Andhra Pradesh,2022,299.0,86.5
Arunachal Pradesh,2022,148.8,47.2
Assam,2022,167.1,32.6
Bihar,2022,168.1,75.4
Chhattisgarh,2022,246.5,80.4
Goa,2022,172.8,75.9
Gujarat,2022,189.8,89.8
Haryana,2022,418.6,43.3
Himachal Pradesh,2022,177.8,82.9
Jharkhand,2022,124.5,58.2
Karnataka,2022,192.1,78.3
Kerala,2022,661.0,96.0
Madhya Pradesh,2022,347.6,86.6
Maharashtra,2022,297.5,75.3
Manipur,2022,94.6,10.4
Meghalaya,2022,87.6,26.9
Mizoram,2022,291.6,58.0
Nagaland,2022,45.4,58.0
Odisha,2022,311.2,77.9
Punjab,2022,142.9,66.4
Rajasthan,2022,293.5,49.8
Sikkim,2022,80.3,55.5
Tamil Nadu,2022,252.8,70.7
Telangana,2022,400.1,79.1
Tripura,2022,88.7,73.1
Uttar Pradesh,2022,171.6,76.1
Uttarakhand,2022,146.8,71.5
West Bengal,2022,158.5,90.6
Andaman & Nicobar Islands,2022,114.4,83.9
Chandigarh,2022,240.5,54.4
Dadra & Nagar Haveli and Daman & Diu,2022,98.6,82.5
Delhi,2022,1424.1,30.2
Jammu & Kashmir,2022,191.4,77.1
Ladakh,2022,146.8,82.4
Lakshadweep,2022,92.8,73.5
Puducherry,2022,199.7,91.3
